date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:31:48	2930/2930	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2029%20Apr%202026%2016:05:10%20GMT	https://dadus.co.in/cdn/shop/t/16/assets/animations.js?v=88693664871331136111744111320	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/animations935c.js	(from https://dadus.co.in/)
01:31:48	7302/7302	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2012%20Jun%202026%2020:01:49%20GMT	https://dadus.co.in/checkouts/internal/preloads.js?locale=en-IN	D:/react_projects/dadus-clone/dadus.co.in/checkouts/internal/preloadsd568.js	(from https://dadus.co.in/)
01:31:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:49%20GMT	http://dadus.co.in/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.en.esm.js	D:/react_projects/dadus-clone/dadus.co.in/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.en.esm.js	(from https://dadus.co.in/)
01:31:48	884/884	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2012%20Jun%202026%2020:00:15%20GMT	https://dadus.co.in/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.en.esm.js	D:/react_projects/dadus-clone/dadus.co.in/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.en.esm.js	(from https://dadus.co.in/)
01:31:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:49%20GMT	http://dadus.co.in/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js	D:/react_projects/dadus-clone/dadus.co.in/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js	(from https://dadus.co.in/)
01:31:49	13938/13938	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2009%20Jun%202026%2006:50:04%20GMT	https://dadus.co.in/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js	D:/react_projects/dadus-clone/dadus.co.in/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js	(from https://dadus.co.in/)
01:31:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:50%20GMT	http://cdn.shopify.com/shopifycloud/storefront/assets/storefront/origin_trials-c173577b.js	D:/react_projects/dadus-clone/cdn.shopify.com/shopifycloud/storefront/assets/storefront/origin_trials-c173577b.17.delayed	(from https://dadus.co.in/)
01:31:49	1141/1141	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2010%20Jun%202026%2004:13:05%20GMT	https://cdn.shopify.com/shopifycloud/storefront/assets/storefront/origin_trials-c173577b.js	D:/react_projects/dadus-clone/cdn.shopify.com/shopifycloud/storefront/assets/storefront/origin_trials-c173577b.js	(from https://dadus.co.in/)
01:31:50	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:51%20GMT	http://dadus.co.in/cdn/shop/t/16/compiled_assets/scripts.js?v=87213176535181526041775727826	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/compiled_assets/scripts07b0.js	(from https://dadus.co.in/)
01:31:50	413825/413825	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2012%20Jun%202026%2019:59:03%20GMT	https://dadus.co.in/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	D:/react_projects/dadus-clone/dadus.co.in/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	(from https://dadus.co.in/)
